epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,34748.6,0.63673,0.4848,0.8068,0.85756,0.85087,0.87917,0.67904,1.08891,0.62728,0.85027,3.3072e-05,3.3072e-05,3.3072e-05
82,35172.8,0.63584,0.48617,0.80717,0.84365,0.86299,0.87659,0.66532,1.14966,0.64038,0.85938,3.14979e-05,3.14979e-05,3.14979e-05
83,35601,0.62931,0.48008,0.80742,0.84848,0.86063,0.87815,0.67092,1.11845,0.63341,0.85406,2.99238e-05,2.99238e-05,2.99238e-05
84,36030.5,0.62912,0.47809,0.80692,0.83859,0.86169,0.87748,0.66909,1.13568,0.64073,0.85636,2.83497e-05,2.83497e-05,2.83497e-05
85,36458.7,0.62961,0.47889,0.80558,0.83575,0.86895,0.8772,0.67241,1.09263,0.62614,0.85002,2.67756e-05,2.67756e-05,2.67756e-05
86,36886.9,0.6293,0.48193,0.80677,0.85565,0.87342,0.88017,0.67511,1.1115,0.63248,0.8519,2.52015e-05,2.52015e-05,2.52015e-05
87,37310,0.62972,0.48078,0.80654,0.86499,0.86099,0.87925,0.66912,1.12351,0.63081,0.85419,2.36274e-05,2.36274e-05,2.36274e-05
88,37740.6,0.62654,0.4771,0.80644,0.85374,0.86311,0.87909,0.6698,1.11897,0.62401,0.85314,2.20533e-05,2.20533e-05,2.20533e-05
89,38172.2,0.62181,0.47539,0.806,0.85522,0.8541,0.8778,0.66619,1.11411,0.62631,0.85261,2.04792e-05,2.04792e-05,2.04792e-05
90,38605.7,0.62039,0.46915,0.80571,0.85605,0.85432,0.87579,0.66954,1.12176,0.63405,0.85385,1.89051e-05,1.89051e-05,1.89051e-05
91,39024.2,0.58421,0.43447,0.80237,0.82023,0.86931,0.87402,0.67719,1.06297,0.62541,0.84652,1.7331e-05,1.7331e-05,1.7331e-05
92,39443.6,0.57162,0.42602,0.80234,0.85335,0.83347,0.8734,0.66195,1.10944,0.62434,0.85228,1.57569e-05,1.57569e-05,1.57569e-05
93,39863.6,0.56488,0.42059,0.80112,0.83555,0.85611,0.87242,0.66458,1.11816,0.63219,0.85525,1.41828e-05,1.41828e-05,1.41828e-05
94,40281.5,0.55919,0.41745,0.80051,0.84015,0.86345,0.87312,0.66569,1.13684,0.63809,0.85825,1.26087e-05,1.26087e-05,1.26087e-05
95,40702.4,0.56011,0.41915,0.79945,0.83449,0.86331,0.87121,0.66754,1.10884,0.62888,0.85368,1.10346e-05,1.10346e-05,1.10346e-05
96,41125.1,0.55822,0.41837,0.79992,0.82889,0.86949,0.8715,0.66348,1.12338,0.63378,0.8565,9.4605e-06,9.4605e-06,9.4605e-06
97,41543.2,0.55731,0.41691,0.80036,0.83757,0.86173,0.8723,0.66789,1.11266,0.62816,0.8536,7.8864e-06,7.8864e-06,7.8864e-06
98,41962.7,0.5514,0.41387,0.79727,0.83163,0.86912,0.86955,0.66473,1.11773,0.63199,0.85475,6.3123e-06,6.3123e-06,6.3123e-06
99,42382.4,0.55242,0.41396,0.80008,0.83426,0.87071,0.87297,0.67045,1.11316,0.62859,0.85401,4.7382e-06,4.7382e-06,4.7382e-06
100,42796.9,0.55129,0.41387,0.79871,0.83002,0.87098,0.87152,0.66599,1.13178,0.63484,0.85739,3.1641e-06,3.1641e-06,3.1641e-06
